Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 1: Reward=-107.8, Steps=156, Eps=0.990, Streak=0, Success=False
Episode 2: Reward=-88.6, Steps=300, Eps=0.980, Streak=0, Success=False
Episode 3: Reward=-100.2, Steps=19, Eps=0.970, Streak=0, Success=False
Episode 4: Reward=-74.9, Steps=300, Eps=0.961, Streak=0, Success=False
Episode 5: Reward=-82.3, Steps=300, Eps=0.951, Streak=0, Success=False
Episode 6: Reward=-108.7, Steps=196, Eps=0.941, Streak=0, Success=False
Episode 7: Reward=-110.5, Steps=207, Eps=0.932, Streak=0, Success=False
Episode 8: Reward=-65.6, Steps=300, Eps=0.923, Streak=0, Success=False
Episode 9: Reward=-103.2, Steps=79, Eps=0.914, Streak=0, Success=False
Episode 10: Reward=-70.3, Steps=300, Eps=0.904, Streak=0, Success=False
Episode 11: Reward=-75.7, Steps=300, Eps=0.895, Streak=0, Success=False
Episode 12: Reward=-131.1, Steps=297, Eps=0.886, Streak=0, Success=False
Episode 13: Reward=-103.4, Steps=85, Eps=0.878, Streak=0, Success=False
Episode 14: Reward=-77.5, Steps=300, Eps=0.869, Streak=0, Success=False
Episode 15: Reward=-105.5, Steps=129, Eps=0.860, Streak=0, Success=False
Episode 16: Reward=-68.0, Steps=300, Eps=0.851, Streak=0, Success=False
Episode 17: Reward=-74.1, Steps=300, Eps=0.843, Streak=0, Success=False
Episode 18: Reward=-65.1, Steps=300, Eps=0.835, Streak=0, Success=False
Episode 19: Reward=-71.0, Steps=300, Eps=0.826, Streak=0, Success=False
Episode 20: Reward=-66.4, Steps=300, Eps=0.818, Streak=0, Success=False
Episode 21: Reward=-85.5, Steps=300, Eps=0.810, Streak=0, Success=False
Episode 22: Reward=-72.4, Steps=300, Eps=0.802, Streak=0, Success=False
Episode 23: Reward=-103.5, Steps=85, Eps=0.794, Streak=0, Success=False
Episode 24: Reward=-69.7, Steps=300, Eps=0.786, Streak=0, Success=False
Episode 25: Reward=-83.7, Steps=300, Eps=0.778, Streak=0, Success=False
Episode 26: Reward=-108.2, Steps=140, Eps=0.770, Streak=0, Success=False
Episode 27: Reward=-96.0, Steps=300, Eps=0.762, Streak=0, Success=False
Episode 28: Reward=-92.0, Steps=300, Eps=0.755, Streak=0, Success=False
Episode 29: Reward=-88.2, Steps=300, Eps=0.747, Streak=0, Success=False
Episode 30: Reward=-92.2, Steps=300, Eps=0.740, Streak=0, Success=False
Episode 31: Reward=-120.8, Steps=223, Eps=0.732, Streak=0, Success=False
Episode 32: Reward=-95.6, Steps=300, Eps=0.725, Streak=0, Success=False
Episode 33: Reward=-88.2, Steps=300, Eps=0.718, Streak=0, Success=False
Episode 34: Reward=-100.6, Steps=300, Eps=0.711, Streak=0, Success=False
Episode 35: Reward=-98.6, Steps=300, Eps=0.703, Streak=0, Success=False
Episode 36: Reward=-98.9, Steps=300, Eps=0.696, Streak=0, Success=False
Episode 37: Reward=-88.3, Steps=300, Eps=0.689, Streak=0, Success=False
Episode 38: Reward=-102.2, Steps=300, Eps=0.683, Streak=0, Success=False
Episode 39: Reward=-95.7, Steps=300, Eps=0.676, Streak=0, Success=False
Episode 40: Reward=80.7, Steps=202, Eps=0.669, Streak=0, Success=True
Episode 41: Reward=-100.5, Steps=300, Eps=0.662, Streak=0, Success=False
Episode 42: Reward=-96.7, Steps=300, Eps=0.656, Streak=0, Success=False
Episode 43: Reward=-98.8, Steps=300, Eps=0.649, Streak=0, Success=False
