12-13 21:49:34: Training starting...
12-13 21:49:35: New best reward 60.0 (-100.0%) at episode 0, saving model...
12-13 21:49:35: New best reward 66.0 (+10.0%) at episode 81, saving model...
12-13 21:49:35: New best reward 135.0 (+104.5%) at episode 218, saving model...
12-13 21:49:35: New best reward 143.0 (+5.9%) at episode 466, saving model...
12-13 21:49:36: New best reward 145.0 (+1.4%) at episode 694, saving model...
12-13 21:49:36: New best reward 161.0 (+11.0%) at episode 697, saving model...
12-13 21:49:36: New best reward 162.0 (+0.6%) at episode 703, saving model...
12-13 21:49:36: New best reward 298.0 (+84.0%) at episode 811, saving model...
12-13 21:49:36: New best reward 405.0 (+35.9%) at episode 891, saving model...
12-13 21:49:41: New best reward 502.0 (+24.0%) at episode 1618, saving model...
12-13 21:49:44: New best reward 613.0 (+22.1%) at episode 1971, saving model...
12-13 21:51:46: New best reward 1357.0 (+121.4%) at episode 8888, saving model...
12-13 21:51:47: New best reward 3444.0 (+153.8%) at episode 8894, saving model...
12-13 21:51:51: New best reward 5060.0 (+46.9%) at episode 9079, saving model...
12-13 21:51:57: New best reward 84234.0 (+1564.7%) at episode 9100, saving model...
12-13 21:52:14: New best reward 100000.0 (+18.7%) at episode 9670, saving model...
