12-13 21:56:41: Training starting...
12-13 21:56:42: New best reward -6.3 (-100.0%) at episode 0, saving model...
12-13 21:56:42: New best reward -5.7 (-9.5%) at episode 45, saving model...
12-13 21:56:42: New best reward -5.1 (-10.5%) at episode 48, saving model...
12-13 21:56:42: New best reward -4.5 (-11.8%) at episode 82, saving model...
12-13 21:56:43: New best reward -0.9 (-80.0%) at episode 325, saving model...
12-13 21:56:43: New best reward 3.3 (-466.7%) at episode 346, saving model...
12-13 21:56:48: New best reward 3.9 (+18.2%) at episode 2328, saving model...
12-13 21:57:09: New best reward 4.3 (+10.3%) at episode 9330, saving model...
12-13 21:57:14: New best reward 4.6 (+7.0%) at episode 10877, saving model...
12-13 21:57:21: New best reward 4.7 (+2.2%) at episode 12743, saving model...
12-13 21:57:28: New best reward 6.3 (+34.0%) at episode 14502, saving model...
12-13 21:57:37: New best reward 6.5 (+3.2%) at episode 16729, saving model...
12-13 21:57:52: New best reward 6.8 (+4.6%) at episode 19769, saving model...
12-13 21:58:08: New best reward 9.0 (+32.4%) at episode 22834, saving model...
12-13 22:01:42: New best reward 11.3 (+25.6%) at episode 61710, saving model...
12-13 22:03:10: New best reward 12.9 (+14.2%) at episode 76966, saving model...
12-13 22:04:35: New best reward 13.5 (+4.7%) at episode 90293, saving model...
12-13 22:04:39: New best reward 13.7 (+1.5%) at episode 91060, saving model...
12-13 22:05:01: New best reward 14.9 (+8.8%) at episode 94136, saving model...
12-13 22:05:13: New best reward 15.2 (+2.0%) at episode 95646, saving model...
12-13 22:05:16: New best reward 18.3 (+20.4%) at episode 96139, saving model...
12-13 22:05:53: New best reward 22.4 (+22.4%) at episode 101862, saving model...
12-13 22:06:12: New best reward 22.5 (+0.4%) at episode 105094, saving model...
12-13 22:06:26: New best reward 23.6 (+4.9%) at episode 107359, saving model...
12-13 22:06:39: New best reward 26.9 (+14.0%) at episode 109422, saving model...
12-13 22:06:40: New best reward 36.9 (+37.2%) at episode 109654, saving model...
12-13 22:08:55: New best reward 47.0 (+27.4%) at episode 129120, saving model...
12-13 22:10:50: New best reward 52.9 (+12.6%) at episode 145468, saving model...
12-13 22:12:39: New best reward 54.9 (+3.8%) at episode 160352, saving model...
12-13 22:13:42: New best reward 69.2 (+26.0%) at episode 168504, saving model...
12-13 22:16:38: New best reward 78.4 (+13.3%) at episode 190559, saving model...
12-13 22:20:17: New best reward 85.3 (+8.8%) at episode 214308, saving model...
12-13 22:33:48: New best reward 87.9 (+3.0%) at episode 296954, saving model...
12-13 22:44:16: New best reward 92.4 (+5.1%) at episode 354272, saving model...
12-13 23:01:32: New best reward 96.9 (+4.9%) at episode 443401, saving model...
12-13 23:02:49: New best reward 106.4 (+9.8%) at episode 449520, saving model...
