Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 1: Reward=-110.5, Steps=135, Eps=0.995, Streak=0, Success=False
Episode 2: Reward=-102.5, Steps=52, Eps=0.990, Streak=0, Success=False
Episode 3: Reward=-101.0, Steps=20, Eps=0.985, Streak=0, Success=False
Episode 4: Reward=-101.0, Steps=21, Eps=0.980, Streak=0, Success=False
Episode 5: Reward=-100.8, Steps=17, Eps=0.975, Streak=0, Success=False
Episode 6: Reward=-75.5, Steps=300, Eps=0.970, Streak=0, Success=False
Episode 7: Reward=-72.6, Steps=300, Eps=0.966, Streak=0, Success=False
Episode 8: Reward=-107.3, Steps=147, Eps=0.961, Streak=0, Success=False
Episode 9: Reward=-110.5, Steps=116, Eps=0.956, Streak=0, Success=False
Episode 10: Reward=-101.4, Steps=29, Eps=0.951, Streak=0, Success=False
Episode 11: Reward=-114.2, Steps=152, Eps=0.946, Streak=0, Success=False
Episode 12: Reward=-104.3, Steps=68, Eps=0.942, Streak=0, Success=False
Episode 13: Reward=-69.8, Steps=300, Eps=0.937, Streak=0, Success=False
Episode 14: Reward=-133.8, Steps=240, Eps=0.932, Streak=0, Success=False
Episode 15: Reward=-109.1, Steps=106, Eps=0.928, Streak=0, Success=False
Episode 16: Reward=-87.8, Steps=300, Eps=0.923, Streak=0, Success=False
Episode 17: Reward=-76.4, Steps=300, Eps=0.918, Streak=0, Success=False
Episode 18: Reward=-73.6, Steps=300, Eps=0.914, Streak=0, Success=False
Episode 19: Reward=-102.8, Steps=57, Eps=0.909, Streak=0, Success=False
Episode 20: Reward=-82.1, Steps=300, Eps=0.905, Streak=0, Success=False
Episode 21: Reward=-107.2, Steps=88, Eps=0.900, Streak=0, Success=False
Episode 22: Reward=-65.0, Steps=300, Eps=0.896, Streak=0, Success=False
Episode 23: Reward=-110.5, Steps=135, Eps=0.891, Streak=0, Success=False
Episode 24: Reward=-72.6, Steps=300, Eps=0.887, Streak=0, Success=False
Episode 25: Reward=-109.5, Steps=115, Eps=0.882, Streak=0, Success=False
Episode 26: Reward=-108.3, Steps=168, Eps=0.878, Streak=0, Success=False
Episode 27: Reward=-103.5, Steps=51, Eps=0.873, Streak=0, Success=False
Episode 28: Reward=-72.6, Steps=300, Eps=0.869, Streak=0, Success=False
Episode 29: Reward=-117.2, Steps=135, Eps=0.865, Streak=0, Success=False
Episode 30: Reward=-82.1, Steps=300, Eps=0.860, Streak=0, Success=False
Episode 31: Reward=-103.3, Steps=68, Eps=0.856, Streak=0, Success=False
Episode 32: Reward=-138.6, Steps=297, Eps=0.852, Streak=0, Success=False
Episode 33: Reward=-66.9, Steps=300, Eps=0.848, Streak=0, Success=False
Episode 34: Reward=-111.2, Steps=225, Eps=0.843, Streak=0, Success=False
Episode 35: Reward=-94.4, Steps=300, Eps=0.839, Streak=0, Success=False
Episode 36: Reward=-108.5, Steps=134, Eps=0.835, Streak=0, Success=False
Episode 37: Reward=-92.6, Steps=300, Eps=0.831, Streak=0, Success=False
Episode 38: Reward=-107.0, Steps=122, Eps=0.827, Streak=0, Success=False
Episode 39: Reward=-111.5, Steps=98, Eps=0.822, Streak=0, Success=False
Episode 40: Reward=-111.3, Steps=152, Eps=0.818, Streak=0, Success=False
Episode 41: Reward=-101.2, Steps=24, Eps=0.814, Streak=0, Success=False
Episode 42: Reward=-105.1, Steps=104, Eps=0.810, Streak=0, Success=False
Episode 43: Reward=-104.0, Steps=81, Eps=0.806, Streak=0, Success=False
Episode 44: Reward=-93.5, Steps=300, Eps=0.802, Streak=0, Success=False
Episode 45: Reward=-110.6, Steps=80, Eps=0.798, Streak=0, Success=False
Episode 46: Reward=-100.8, Steps=16, Eps=0.794, Streak=0, Success=False
Episode 47: Reward=-109.5, Steps=134, Eps=0.790, Streak=0, Success=False
Episode 48: Reward=-128.8, Steps=139, Eps=0.786, Streak=0, Success=False
Episode 49: Reward=-86.8, Steps=300, Eps=0.782, Streak=0, Success=False
Episode 50: Reward=-99.2, Steps=300, Eps=0.778, Streak=0, Success=False
Episode 51: Reward=-107.0, Steps=84, Eps=0.774, Streak=0, Success=False
Episode 52: Reward=-110.9, Steps=104, Eps=0.771, Streak=0, Success=False
Episode 53: Reward=-132.0, Steps=241, Eps=0.767, Streak=0, Success=False
Episode 54: Reward=-123.3, Steps=162, Eps=0.763, Streak=0, Success=False
Episode 55: Reward=-104.9, Steps=300, Eps=0.759, Streak=0, Success=False
Episode 56: Reward=-104.0, Steps=44, Eps=0.755, Streak=0, Success=False
Episode 57: Reward=-105.5, Steps=112, Eps=0.751, Streak=0, Success=False
Episode 58: Reward=-105.8, Steps=300, Eps=0.748, Streak=0, Success=False
Episode 59: Reward=-156.4, Steps=275, Eps=0.744, Streak=0, Success=False
Episode 60: Reward=-139.5, Steps=202, Eps=0.740, Streak=0, Success=False
Episode 61: Reward=-119.1, Steps=300, Eps=0.737, Streak=0, Success=False
Episode 62: Reward=-102.0, Steps=41, Eps=0.733, Streak=0, Success=False
Episode 63: Reward=-97.3, Steps=300, Eps=0.729, Streak=0, Success=False
Episode 64: Reward=-115.3, Steps=300, Eps=0.726, Streak=0, Success=False
Episode 65: Reward=-103.0, Steps=300, Eps=0.722, Streak=0, Success=False
Episode 66: Reward=-105.8, Steps=300, Eps=0.718, Streak=0, Success=False
Episode 67: Reward=-114.4, Steps=300, Eps=0.715, Streak=0, Success=False
Episode 68: Reward=66.5, Steps=291, Eps=0.711, Streak=0, Success=True
Episode 69: Reward=-108.3, Steps=73, Eps=0.708, Streak=0, Success=False
Episode 70: Reward=-114.9, Steps=128, Eps=0.704, Streak=0, Success=False
Episode 71: Reward=-115.3, Steps=300, Eps=0.701, Streak=0, Success=False
Episode 72: Reward=-144.8, Steps=194, Eps=0.697, Streak=0, Success=False
Episode 73: Reward=-113.9, Steps=146, Eps=0.694, Streak=0, Success=False
Episode 74: Reward=-104.9, Steps=300, Eps=0.690, Streak=0, Success=False
Episode 75: Reward=75.6, Steps=185, Eps=0.687, Streak=0, Success=True
Episode 76: Reward=-100.8, Steps=17, Eps=0.683, Streak=0, Success=False
Episode 77: Reward=-131.5, Steps=300, Eps=0.680, Streak=0, Success=False
Episode 78: Reward=-120.1, Steps=300, Eps=0.676, Streak=0, Success=False
Episode 79: Reward=-82.1, Steps=300, Eps=0.673, Streak=0, Success=False
Episode 80: Reward=-104.8, Steps=40, Eps=0.670, Streak=0, Success=False
Episode 81: Reward=71.7, Steps=262, Eps=0.666, Streak=0, Success=True
Episode 82: Reward=-93.5, Steps=300, Eps=0.663, Streak=0, Success=False
Episode 83: Reward=-101.1, Steps=300, Eps=0.660, Streak=0, Success=False
Episode 84: Reward=-101.1, Steps=300, Eps=0.656, Streak=0, Success=False
Episode 85: Reward=-119.8, Steps=130, Eps=0.653, Streak=0, Success=False
Episode 86: Reward=31.2, Steps=256, Eps=0.650, Streak=0, Success=True
Episode 87: Reward=-85.9, Steps=300, Eps=0.647, Streak=0, Success=False
Episode 88: Reward=-104.9, Steps=300, Eps=0.643, Streak=0, Success=False
Episode 89: Reward=-105.1, Steps=66, Eps=0.640, Streak=0, Success=False
Episode 90: Reward=-100.1, Steps=300, Eps=0.637, Streak=0, Success=False
Episode 91: Reward=-101.1, Steps=300, Eps=0.634, Streak=0, Success=False
Episode 92: Reward=-100.1, Steps=300, Eps=0.631, Streak=0, Success=False
Episode 93: Reward=-92.5, Steps=300, Eps=0.627, Streak=0, Success=False
Episode 94: Reward=-104.9, Steps=300, Eps=0.624, Streak=0, Success=False
Episode 95: Reward=-89.7, Steps=300, Eps=0.621, Streak=0, Success=False
Episode 96: Reward=-93.5, Steps=300, Eps=0.618, Streak=0, Success=False
Episode 97: Reward=-112.5, Steps=300, Eps=0.615, Streak=0, Success=False
Episode 98: Reward=-92.5, Steps=300, Eps=0.612, Streak=0, Success=False
Episode 99: Reward=-91.6, Steps=300, Eps=0.609, Streak=0, Success=False
Episode 100: Reward=-110.6, Steps=300, Eps=0.606, Streak=0, Success=False
Episode 101: Reward=-100.1, Steps=300, Eps=0.603, Streak=0, Success=False
Episode 102: Reward=-112.5, Steps=300, Eps=0.600, Streak=0, Success=False
Episode 103: Reward=-89.7, Steps=300, Eps=0.597, Streak=0, Success=False
Episode 104: Reward=-111.5, Steps=300, Eps=0.594, Streak=0, Success=False
Episode 105: Reward=-103.9, Steps=300, Eps=0.591, Streak=0, Success=False
Episode 106: Reward=-79.3, Steps=300, Eps=0.588, Streak=0, Success=False
Episode 107: Reward=-110.6, Steps=300, Eps=0.585, Streak=0, Success=False
Episode 108: Reward=-103.0, Steps=300, Eps=0.582, Streak=0, Success=False
Episode 109: Reward=-124.8, Steps=300, Eps=0.579, Streak=0, Success=False
Episode 110: Reward=-82.1, Steps=300, Eps=0.576, Streak=0, Success=False
Episode 111: Reward=-136.2, Steps=300, Eps=0.573, Streak=0, Success=False
Episode 112: Reward=-85.9, Steps=300, Eps=0.570, Streak=0, Success=False
Episode 113: Reward=-119.1, Steps=300, Eps=0.568, Streak=0, Success=False
Episode 114: Reward=-72.6, Steps=300, Eps=0.565, Streak=0, Success=False
Episode 115: Reward=-89.7, Steps=300, Eps=0.562, Streak=0, Success=False
Episode 116: Reward=-77.4, Steps=300, Eps=0.559, Streak=0, Success=False
Episode 117: Reward=-86.9, Steps=300, Eps=0.556, Streak=0, Success=False
Episode 118: Reward=-117.0, Steps=207, Eps=0.554, Streak=0, Success=False
Episode 119: Reward=-97.3, Steps=300, Eps=0.551, Streak=0, Success=False
Episode 120: Reward=-79.3, Steps=300, Eps=0.548, Streak=0, Success=False
Episode 121: Reward=-87.8, Steps=300, Eps=0.545, Streak=0, Success=False
Episode 122: Reward=-114.4, Steps=300, Eps=0.543, Streak=0, Success=False
Episode 123: Reward=-101.0, Steps=20, Eps=0.540, Streak=0, Success=False
Episode 124: Reward=-75.5, Steps=300, Eps=0.537, Streak=0, Success=False
Episode 125: Reward=-133.6, Steps=123, Eps=0.534, Streak=0, Success=False
Episode 126: Reward=-164.7, Steps=300, Eps=0.532, Streak=0, Success=False
Episode 127: Reward=-163.8, Steps=300, Eps=0.529, Streak=0, Success=False
Episode 128: Reward=-101.3, Steps=27, Eps=0.526, Streak=0, Success=False
Episode 129: Reward=-113.4, Steps=300, Eps=0.524, Streak=0, Success=False
Episode 130: Reward=-101.2, Steps=25, Eps=0.521, Streak=0, Success=False
Episode 131: Reward=-100.6, Steps=13, Eps=0.519, Streak=0, Success=False
Episode 132: Reward=-76.4, Steps=300, Eps=0.516, Streak=0, Success=False
Episode 133: Reward=-100.6, Steps=13, Eps=0.513, Streak=0, Success=False
Episode 134: Reward=-117.2, Steps=300, Eps=0.511, Streak=0, Success=False
Episode 135: Reward=-101.3, Steps=27, Eps=0.508, Streak=0, Success=False
Episode 136: Reward=-166.6, Steps=300, Eps=0.506, Streak=0, Success=False
Episode 137: Reward=-95.4, Steps=300, Eps=0.503, Streak=0, Success=False
Episode 138: Reward=-101.1, Steps=300, Eps=0.501, Streak=0, Success=False
Episode 139: Reward=-122.0, Steps=300, Eps=0.498, Streak=0, Success=False
Episode 140: Reward=-100.9, Steps=19, Eps=0.496, Streak=0, Success=False
Episode 141: Reward=-110.6, Steps=175, Eps=0.493, Streak=0, Success=False
Episode 142: Reward=-101.2, Steps=26, Eps=0.491, Streak=0, Success=False
Episode 143: Reward=-129.6, Steps=300, Eps=0.488, Streak=0, Success=False
Episode 144: Reward=-110.3, Steps=130, Eps=0.486, Streak=0, Success=False
Episode 145: Reward=-102.9, Steps=59, Eps=0.483, Streak=0, Success=False
Episode 146: Reward=-150.5, Steps=300, Eps=0.481, Streak=0, Success=False
Episode 147: Reward=-102.5, Steps=52, Eps=0.479, Streak=0, Success=False
Episode 148: Reward=-108.7, Steps=300, Eps=0.476, Streak=0, Success=False
Episode 149: Reward=-80.2, Steps=300, Eps=0.474, Streak=0, Success=False
Episode 150: Reward=-101.4, Steps=29, Eps=0.471, Streak=0, Success=False
Episode 151: Reward=-151.8, Steps=240, Eps=0.469, Streak=0, Success=False
Episode 152: Reward=-66.9, Steps=300, Eps=0.467, Streak=0, Success=False
Episode 153: Reward=-82.1, Steps=300, Eps=0.464, Streak=0, Success=False
Episode 154: Reward=-100.9, Steps=19, Eps=0.462, Streak=0, Success=False
Episode 155: Reward=-142.3, Steps=183, Eps=0.460, Streak=0, Success=False
Episode 156: Reward=-76.4, Steps=300, Eps=0.458, Streak=0, Success=False
Episode 157: Reward=-116.5, Steps=102, Eps=0.455, Streak=0, Success=False
Episode 158: Reward=-111.7, Steps=177, Eps=0.453, Streak=0, Success=False
Episode 159: Reward=-106.4, Steps=91, Eps=0.451, Streak=0, Success=False
Episode 160: Reward=-108.3, Steps=167, Eps=0.448, Streak=0, Success=False
Episode 161: Reward=-102.9, Steps=59, Eps=0.446, Streak=0, Success=False
Episode 162: Reward=-111.3, Steps=189, Eps=0.444, Streak=0, Success=False
Episode 163: Reward=-100.6, Steps=13, Eps=0.442, Streak=0, Success=False
Episode 164: Reward=-125.2, Steps=200, Eps=0.440, Streak=0, Success=False
Episode 165: Reward=-123.7, Steps=189, Eps=0.437, Streak=0, Success=False
Episode 166: Reward=-107.7, Steps=155, Eps=0.435, Streak=0, Success=False
Episode 167: Reward=-100.9, Steps=19, Eps=0.433, Streak=0, Success=False
Episode 168: Reward=-113.2, Steps=151, Eps=0.431, Streak=0, Success=False
Episode 169: Reward=-105.5, Steps=92, Eps=0.429, Streak=0, Success=False
Episode 170: Reward=-83.1, Steps=300, Eps=0.427, Streak=0, Success=False
Episode 171: Reward=-101.5, Steps=31, Eps=0.424, Streak=0, Success=False
Episode 172: Reward=-101.2, Steps=25, Eps=0.422, Streak=0, Success=False
Episode 173: Reward=-100.8, Steps=17, Eps=0.420, Streak=0, Success=False
Episode 174: Reward=-102.8, Steps=56, Eps=0.418, Streak=0, Success=False
Episode 175: Reward=-102.8, Steps=58, Eps=0.416, Streak=0, Success=False
Episode 176: Reward=-101.2, Steps=26, Eps=0.414, Streak=0, Success=False
Episode 177: Reward=-111.6, Steps=232, Eps=0.412, Streak=0, Success=False
Episode 178: Reward=-112.2, Steps=244, Eps=0.410, Streak=0, Success=False
Episode 179: Reward=-104.9, Steps=99, Eps=0.408, Streak=0, Success=False
Episode 180: Reward=-102.5, Steps=51, Eps=0.406, Streak=0, Success=False
Episode 181: Reward=-100.2, Steps=6, Eps=0.404, Streak=0, Success=False
Episode 182: Reward=-103.5, Steps=72, Eps=0.402, Streak=0, Success=False
Episode 183: Reward=-101.3, Steps=27, Eps=0.400, Streak=0, Success=False
Episode 184: Reward=-103.6, Steps=74, Eps=0.398, Streak=0, Success=False
Episode 185: Reward=-104.6, Steps=94, Eps=0.396, Streak=0, Success=False
Episode 186: Reward=-103.2, Steps=65, Eps=0.394, Streak=0, Success=False
Episode 187: Reward=-108.2, Steps=165, Eps=0.392, Streak=0, Success=False
Episode 188: Reward=-104.7, Steps=96, Eps=0.390, Streak=0, Success=False
Episode 189: Reward=-109.9, Steps=199, Eps=0.388, Streak=0, Success=False
Episode 190: Reward=-111.6, Steps=232, Eps=0.386, Streak=0, Success=False
Episode 191: Reward=-106.5, Steps=131, Eps=0.384, Streak=0, Success=False
Episode 192: Reward=-101.2, Steps=26, Eps=0.382, Streak=0, Success=False
Episode 193: Reward=-106.1, Steps=124, Eps=0.380, Streak=0, Success=False
Episode 194: Reward=-100.5, Steps=10, Eps=0.378, Streak=0, Success=False
Episode 195: Reward=-101.7, Steps=35, Eps=0.376, Streak=0, Success=False
Episode 196: Reward=-127.7, Steps=250, Eps=0.374, Streak=0, Success=False
Episode 197: Reward=-100.8, Steps=17, Eps=0.373, Streak=0, Success=False
